#  gamma_0, K, T, phi, ecc, omega, sigma_0, 
# 
3.481159999999999854e+01 8.142329999999999757e+01 4.988729999999999905e+02 6.278529999999999944e+00 2.123599999999999932e-01 3.569049999999999834e+00 5.740950000000000131e+01
4.169830000000000325e+01 6.720420000000000016e+01 5.014399999999999977e+02 2.421749999999999847e+00 4.263199999999999767e-01 2.304380000000000095e+00 5.813470000000000226e+01
4.140910000000000224e+01 8.474840000000000373e+01 9.891159999999999854e+02 2.582349999999999923e+00 6.691310000000000313e-01 4.151150000000000340e+00 5.718249999999999744e+01
4.825200000000000244e+01 9.780209999999999582e+01 9.321280000000000427e+02 5.771189999999999820e+00 4.163870000000000071e-01 3.201639999999999819e+00 5.659389999999999787e+01
3.489629999999999654e+01 9.843680000000000518e+01 9.710819999999999936e+02 2.377349999999999852e+00 5.121489999999999654e-01 3.861689999999999845e+00 5.121200000000000330e+01
3.387599999999999767e+01 6.856619999999999493e+01 4.949789999999999850e+02 3.260930000000000106e+00 9.450079999999999592e-02 2.035950000000000149e+00 6.900939999999999941e+01
4.624040000000000106e+01 6.824859999999999616e+01 5.434249999999999545e+02 2.715149999999999952e+00 6.648720000000000185e-01 2.333439999999999959e+00 6.755790000000000362e+01
4.021280000000000143e+01 7.909130000000000393e+01 9.695030000000000427e+02 1.926029999999999909e+00 3.293590000000000129e-01 3.677179999999999893e+00 6.009810000000000230e+01
4.948449999999999704e+01 8.644339999999999691e+01 9.760750000000000455e+02 2.165719999999999867e+00 5.274020000000000374e-01 3.873339999999999783e+00 5.395969999999999800e+01
4.833740000000000236e+01 8.451380000000000337e+01 5.084270000000000209e+02 3.624899999999999789e+00 3.235219999999999763e-01 2.500239999999999796e+00 5.973389999999999844e+01
4.153770000000000095e+01 7.772929999999999495e+01 5.058419999999999845e+02 6.202630000000000088e+00 1.668880000000000086e-01 2.015039999999999942e+00 6.096359999999999957e+01
5.761200000000000188e+01 8.582229999999999848e+01 8.839220000000000255e+02 1.893969999999999931e+00 6.960190000000000543e-01 4.096809999999999619e+00 5.100439999999999685e+01
4.600809999999999889e+01 7.121670000000000300e+01 5.298079999999999927e+02 1.609180000000000055e+00 1.906809999999999894e-01 3.164359999999999840e+00 5.674240000000000350e+01
4.053970000000000340e+01 8.108310000000000173e+01 9.462129999999999654e+02 5.977540000000000298e+00 4.307130000000000125e-01 4.099949999999999761e+00 6.816509999999999536e+01
4.410260000000000247e+01 7.718000000000000682e+01 9.341960000000000264e+02 4.849619999999999820e+00 2.577389999999999959e-01 3.000750000000000028e+00 5.775030000000000285e+01
4.887400000000000233e+01 7.399290000000000589e+01 5.143410000000000082e+02 5.797630000000000283e-01 3.714250000000000052e-01 2.525760000000000005e+00 5.056569999999999965e+01
4.574960000000000093e+01 9.594559999999999889e+01 9.987179999999999609e+02 1.898889999999999967e+00 7.974660000000000082e-01 4.351020000000000110e+00 6.019299999999999784e+01
4.056810000000000116e+01 8.467879999999999541e+01 9.913949999999999818e+02 9.347569999999999490e-01 4.545480000000000076e-01 3.727700000000000014e+00 5.831400000000000006e+01
