#  gamma_0, K, T, phi, ecc, omega, sigma_0, 
# 
-5.333370000000000033e+01 9.914979999999999905e+01 3.817749999999999773e+02 1.662660000000000027e+00 3.479579999999999895e-01 1.374009999999999954e+00 1.074760000000000026e+01
-3.533079999999999998e+00 9.574389999999999645e+01 1.882220000000000084e+02 1.220660000000000078e+00 3.023810000000000109e-01 3.482419999999999849e+00 5.763000000000000345e-01
-5.354420000000000179e+00 9.541440000000000055e+01 1.900360000000000014e+02 1.662560000000000038e+00 1.843829999999999913e-01 3.397229999999999972e+00 6.840650000000000119e+00
-3.028010000000000090e+01 9.304139999999999588e+01 3.786689999999999827e+02 1.255980000000000096e+00 4.268750000000000044e-01 1.945629999999999971e+00 1.418859999999999921e+01
-1.134709999999999930e+01 9.115569999999999595e+01 1.917789999999999964e+02 1.868549999999999933e+00 2.367559999999999942e-01 3.545640000000000125e+00 9.845039999999999125e+00
2.327179999999999804e+00 9.039470000000000027e+01 1.864290000000000020e+02 1.082009999999999916e+00 3.656960000000000210e-01 3.253699999999999815e+00 8.655469999999999331e+00
-1.001590000000000025e+01 9.438689999999999714e+01 1.895790000000000077e+02 1.556650000000000089e+00 2.373280000000000112e-01 3.347179999999999822e+00 4.371220000000000105e+00
8.525500000000000300e-01 9.632550000000000523e+01 1.868079999999999927e+02 1.169340000000000046e+00 3.489929999999999977e-01 3.257190000000000030e+00 1.442040000000000077e+01
-2.942680000000000184e+00 9.642690000000000339e+01 1.906579999999999870e+02 1.719799999999999995e+00 3.593520000000000048e-01 3.451229999999999798e+00 8.872999999999999332e+00
-5.113130000000000308e+01 9.643460000000000321e+01 3.794479999999999791e+02 1.705230000000000024e+00 3.230410000000000226e-01 1.081110000000000015e+00 1.202619999999999933e+01
-5.508330000000000126e+01 9.853810000000000002e+01 3.836990000000000123e+02 1.838470000000000049e+00 3.780899999999999817e-01 1.133340000000000014e+00 1.214969999999999928e+01
6.793979999999999464e-01 9.014679999999999893e+01 1.879600000000000080e+02 1.636319999999999997e+00 2.794989999999999974e-01 3.052470000000000017e+00 1.497669999999999924e+01
-2.102439999999999998e+01 9.901250000000000284e+01 1.939809999999999945e+02 3.588670000000000027e+00 3.480099999999999860e-02 2.123170000000000002e+00 1.685219999999999985e+01
-4.001720000000000255e+01 8.871760000000000446e+01 3.826159999999999854e+02 1.641710000000000003e+00 2.861469999999999847e-01 1.492799999999999905e+00 1.127630000000000088e+01
-4.001720000000000255e+01 8.871760000000000446e+01 3.826159999999999854e+02 1.641710000000000003e+00 2.861469999999999847e-01 1.492799999999999905e+00 1.127630000000000088e+01
-3.981750000000000256e+01 9.331850000000000023e+01 3.799420000000000073e+02 1.555770000000000097e+00 2.347430000000000072e-01 1.394670000000000076e+00 1.469539999999999935e+01
-5.592439999999999856e+01 9.602070000000000505e+01 3.810830000000000268e+02 1.900749999999999940e+00 2.876589999999999980e-01 8.747369999999999868e-01 5.947019999999999529e-01
-1.453819999999999979e+01 9.911039999999999850e+01 1.900689999999999884e+02 1.695330000000000004e+00 2.439060000000000117e-01 3.345390000000000086e+00 1.092220000000000013e+01
-1.532339999999999947e+01 8.332769999999999300e+01 1.880109999999999957e+02 2.082419999999999938e+00 2.202479999999999993e-01 2.346839999999999815e+00 1.503149999999999942e+01
-3.981750000000000256e+01 9.331850000000000023e+01 3.799420000000000073e+02 1.555770000000000097e+00 2.347430000000000072e-01 1.394670000000000076e+00 1.469539999999999935e+01
-4.001720000000000255e+01 8.871760000000000446e+01 3.826159999999999854e+02 1.641710000000000003e+00 2.861469999999999847e-01 1.492799999999999905e+00 1.127630000000000088e+01
-2.322799999999999976e+00 8.436629999999999541e+01 1.890420000000000016e+02 1.802969999999999962e+00 2.686450000000000227e-01 3.066949999999999843e+00 1.840390000000000015e+01
